Genotype;vertpos;vertvel;lifespan
q(X, fCMqX[G](XqcXXX, XLMX,), lqMlX, X[T, r:0.86][@,-1:-13.061]);0.6440835562367375;5.1073170790216785e-05;50.0
rq(X, fX[S](Xqc X, XLMX), lqMlX[@,-1:-12.968]);0.6137166463899908;1.1290840888390496e-05;50.0
rq(X, fX[S](Xqc X, XLMX), lqMlX[@,-1:-15.882]);0.6137166463432865;1.1290841822478859e-05;50.0
q(X, fX[S]XL(XqcXX[T]qlmX, qXmX(X, , qX)), CXX[T,ry:0][@, -1:-20.782,p:1]);0.5689112535232315;2.883241977296169e-06;50.0
q(X, fCMqX[G](XqlmX, qXmX(X, , qX,)), CXX[T][@, -1:-18.5]);0.5627364654237035;3.314813201911182e-06;50.0
q(X, fCMqX[G](XqcXX, qXmX(X, , qX)), CXX[T][T][@, -1:-12.967]);0.546071739244578;4.759782847246319e-05;50.0
q(X, fCMqX[G](XqcXX, qXmX(X, , qX)), CXX[T][@, -1:-16.816]);0.5460717392445422;4.759782847313821e-05;50.0
q(X, fCMqX[G](XqcXX, qXmX(X, , qX)), CXX[T][T][@, -1:-11.225]);0.5460717392445416;4.7597828473165964e-05;50.0
q(X, fCMqX[G](XqcXX, qXmX(X, , X)), CXX[T][T][@, -1:-14.871]);0.5460717392445347;4.759782847327143e-05;50.0
q(X, fCMqX[G](XqcXX, qXmX(X, , qX)), CXX[T][T][@, -1:-7.811]);0.5460717392445202;4.7597828473602274e-05;50.0
