Genotype;vertpos;vertvel;lifespan
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:3.192]rXCm((XmmXRMXCQXXmX)), X[N, 0:-2.573, in:0.8]cX), Xm(LmcfLX[S]));0.44290856427884795;1.5354273261693474e-05;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:-2.077]rMXCm((XmXRMXCQXXXmX)), X[N, fo:0.44, 0:-5.433, in:0.8]cX), Xm(LmcfLX[S]));0.4233349502617991;0.0001609811473618944;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:-2.077]rMXCm((XmXRMXCQXXXmX)), X[N, fo:0.44, 0:-6.734, in:0.8]cX), Xm(LmcfLX[S]));0.4232252831417453;0.00015878780496081157;50.0
rmX[*]CC(LXXrFM(, X[Gpart]rXCm(XmXRMXlCQXXmX)), X[N, 0:-3.277, in:0.8]cX);0.4103251202031668;3.0097782451998233e-05;50.0
rmX[*]CC(LXXrFM(, X[Gpart]rXCm(XmXRMXlCQXXmX)), X[N, 0:-3.748, in:0.8]cX);0.4103251202031663;3.009778245200434e-05;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:-0.964]rMXCm((XmXRMXlCQXXmX)), X[N, fo:0.44, 0:-6.174, in:0.8]cX), Xm(LmcfLX[S]cX));0.4003961534615774;0.00044128887124946056;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:4.59]rXCm((XmXRMXXCQXXmX)), X[N, fo:0.44, 0:11.021, in:0.8]cX), Xm(LmcfLX[S]));0.39464286117087166;0.0011609579288497161;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:-0.964]rMXCm((XmXRMXlCQXXmX)), X[N, fo:0.44, 0:-8.367, in:0.8]cX), Xm(LmcfLX[S]X));0.3898022606841383;0.0004395536526896865;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25,r:1]rXCm((XmXRMXlCQXXmX)), X[N, fo:0.44, 0:0.745, in:0.8,-2:1.911]cX), Xm(LmcfLX[S]X));0.38688283887852637;0.0003811652165774326;50.0
(rmX[*]CC(LX[|, p:0.46, p:0.25, 1:-0.964]rMXCm((XmXRMXlCQXXmX)), X[N, fo:0.44, 0:-6.734, in:0.8]cX), Xm(LmcfLX[S]X));0.3868556206521772;0.0003806208520504501;50.0
